Particle	Mass	Spin	B	S	Q
pi+	139.57	0	0	0	1
pi-	139.57	0	0	0	-1
pi0	134.976	0	0	0	0
eta	547.86	0	0	0	0
f0	500	0	0	0	0
rho+	770	1	0	0	1
rho-	770	1	0	0	-1
rho0	770	1	0	0	0
omega	782	1	0	0	0
eta1	958	0	0	0	0
f0	980	0	0	0	0
a0+	980	0	0	0	1
a0-	980	0	0	0	-1
a00	980	0	0	0	0
phi	1020	1	0	0	0
h1	1170	1	0	0	0
b1+	1235	1	0	0	1
b1-	1235	1	0	0	-1
b10	1235	1	0	0	0
a1+	1260	1	0	0	1
a1-	1260	1	0	0	-1
a10	1260	1	0	0	0
f2	1270	2	0	0	0
f1	1285	1	0	0	0
eta	1295	0	0	0	0
pi+	1300	0	0	0	1
pi-	1300	0	0	0	-1
pi0	1300	0	0	0	0
a2+	1320	2	0	0	1
a2-	1320	2	0	0	-1
a20	1320	2	0	0	0
f0	1370	0	0	0	0
pi1+	1400	1	0	0	1
pi1-	1400	1	0	0	-1
pi10	1400	1	0	0	0
eta	1405	0	0	0	0
h1	1415	1	0	0	0
f1	1420	1	0	0	0
omega	1420	1	0	0	0
f2	1430	2	0	0	0
a0+	1450	0	0	0	1
a0-	1450	0	0	0	-1
a00	1450	0	0	0	0
rho+	1450	1	0	0	1
rho-	1450	1	0	0	-1
rho0	1450	1	0	0	0
eta	1475	0	0	0	0
f0	1500	0	0	0	0
f1	1510	1	0	0	0
f2	1525	2	0	0	0
f2	1565	2	0	0	0
rho+	1570	1	0	0	1
rho-	1570	1	0	0	-1
rho0	1570	1	0	0	0
h1	1595	1	0	0	0
pi1+	1600	1	0	0	1
pi1-	1600	1	0	0	-1
pi10	1600	1	0	0	0
a1+	1640	1	0	0	1
a1-	1640	1	0	0	-1
a10	1640	1	0	0	0
f2	1640	2	0	0	0
eta2	1645	2	0	0	0
omega	1650	1	0	0	0
omega3	1670	3	0	0	0
pi2+	1670	2	0	0	1
pi2-	1670	2	0	0	-1
pi20	1670	2	0	0	0
phi	1680	1	0	0	0
rho3+	1690	3	0	0	1
rho3-	1690	3	0	0	-1
rho30	1690	3	0	0	0
rho+	1700	1	0	0	1
rho-	1700	1	0	0	-1
rho0	1700	1	0	0	0
a2+	1700	2	0	0	1
a2-	1700	2	0	0	-1
a20	1700	2	0	0	0
f0	1710	0	0	0	0
eta	1760	0	0	0	0
pi+	1800	0	0	0	1
pi-	1800	0	0	0	-1
pi0	1800	0	0	0	0
f2	1810	2	0	0	0
phi3	1850	3	0	0	0
eta2	1870	2	0	0	0
pi2+	1880	2	0	0	1
pi2-	1880	2	0	0	-1
pi20	1880	2	0	0	0
rho+	1900	1	0	0	1
rho-	1900	1	0	0	-1
rho0	1900	1	0	0	0
f2	1910	2	0	0	0
a0+	1950	0	0	0	1
a0-	1950	0	0	0	-1
a00	1950	0	0	0	0
f2	1950	2	0	0	0
a+	1970	4	0	0	1
a4-	1970	4	0	0	-1
a40	1970	4	0	0	0
rho3+	1990	3	0	0	1
rho3-	1990	3	0	0	-1
rho30	1990	3	0	0	0
pi2+	2005	2	0	0	1
pi2-	2005	2	0	0	-1
pi20	2005	2	0	0	0
f2	2010	2	0	0	0
f0	2020	0	0	0	0
f4	2050	4	0	0	0
pi2+	2100	2	0	0	1
pi2-	2100	2	0	0	-1
pi20	2100	2	0	0	0
f0	2100	0	0	0	0
f2	2150	2	0	0	0
rho+	2150	1	0	0	1
rho-	2150	1	0	0	-1
rho0	2150	1	0	0	0
phi	2170	1	0	0	0
f0	2200	0	0	0	0
eta	2225	0	0	0	0
rho3+	2250	3	0	0	1
rho3-	2250	3	0	0	-1
rho30	2250	3	0	0	0
f2	2300	2	0	0	0
f4	2300	4	0	0	0
f0	2330	0	0	0	0
f2	2340	2	0	0	0
rho5+	2350	5	0	0	1
